"","treated_unit","Introcommu.x","oftenmbta","PoliID.x","ideology.x","party.x","obama.x","X2010","election.x","intoviews.x","numberim.x","Remain.x","Englishlan.x","Hispanics.x","age","residency","Friends.x","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community.x","Crime.x","Diverse.x","wealthcomm.x","welcome.y","disclosure.y","Introcommu.y","line.x","oftentrain","best_memor","Commutefre","MissTrain","habits","wait_on_pl","PoliID.y","registered","ideology.y","party.y","obama.y","election.y","intoviews.y","numberim.y","Remain.y","Englishlan.y","Hispanics.y","selfIDintr","Friends.y","Community.y","Crime.y","Diverse.y","wealthcomm.y","t.time","assignment","line.y","station","train","time","treatment","zip.pct.hispanic","white","us.born","income.new","hispanic.new","residency.new","time.treatment","a.time","obama.voter","romney.voter","obama.voter.x","romney.voter.x","obama.voter.y","romney.voter.y","male","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","college"
"1","Framingham_Grafton_P502",1,4,1,3,1,3,5,3,1,5,2,4,0,31,2,3,NA,NA,NA,1,NA,2,2,5,1,7,1,3,4,3,1,1,1,3,5,1,16,0,2,3,1,1,3,1,3,3,1,4,3,4,0,1,3,1,3,5,3,"t2b","T2b","Framingham","Grafton","P502","5:29",1,0.0264385692068429,1,1,135000,0,3.5,"b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"2","Framingham_Southborough_P508",1,3,1,4,3,3,5,6,1,1,5,3,0,34,2,4,NA,NA,NA,1,NA,2,2,6,2,6,1,3,4,3,1,1,1,3,5,1,5,NA,2,3,1,1,4,3,4,6,1,2,5,3,0,1,3,1,3,4,2,"t2a","T2a","Framingham","Southborough","P508","7:28",1,0.0153524075366364,1,0,105000,0,3.5,"a",1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
"3","Framingham_Grafton_P502",1,4,1,1,2,2,5,1,1,1,1,1,0,63,5,100,NA,NA,NA,NA,1,2,1,6,1,7,1,3,4,4,1,1,1,3,5,1,8,0,2,3,1,1,2,2,3,1,1,3,1,1,0,1,50,1,3,4,4,"t2b","T2b","Framingham","Grafton","P502","5:29",1,0.0191053828658074,1,1,135000,0,10.5447154471545,"b",0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1
"4","Framingham_Grafton_P502",1,3,1,4,2,4,5,3,1,3,4,4,0,45,4,5,NA,NA,NA,1,NA,2,1,6,1,9,1,3,3,3,1,1,1,3,5,1,2,0,1,NA,1,1,4,2,4,3,1,3,4,4,0,1,12,1,3,3,3,"t2a","T2a","Framingham","Grafton","P502","5:29",1,0.0191053828658074,1,1,300000,0,12.5,"a",1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
"5","Framingham_Grafton_P506",1,4,1,2,1,1,5,2,1,3,1,4,0,55,4,2,NA,NA,NA,1,NA,2,1,6,1,7,1,3,3,2,1,1,1,3,5,1,8,0,2,2,1,1,2,1,1,1,1,2,1,2,0,1,0,1,3,4,2,"t2b","T2b","Framingham","Grafton","P506","6:49",0,0.0191053828658074,1,1,135000,0,12.5,"b",0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
"6","Framingham_Grafton_P502",1,4,1,5,4,5,5,3,1,3,5,5,0,37,3,1,NA,NA,NA,1,NA,2,2,6,1,5,1,3,4,4,1,1,1,3,5,1,6,0,2,2,1,1,5,2,4,3,1,3,5,5,0,1,4,1,3,3,4,"t2b","T2b","Framingham","Grafton","P502","5:29",1,0.0231013136041069,1,1,87500,0,7.5,"b",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"7","Framingham_Grafton_P502",1,4,1,4,1,1,5,1,1,5,1,5,0,64,3,10,NA,NA,NA,1,NA,2,2,2,NA,7,1,3,3,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t2a","T2a","Framingham","Grafton","P502","5:29",1,0.0231013136041069,1,1,135000,0,7.5,"a",1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0
"8","Framingham_Grafton_P506",1,4,1,5,3,5,5,6,1,4,4,5,0,53,1,1,NA,NA,NA,1,NA,2,2,3,1,5,1,3,3,3,1,1,1,3,5,1,4,0,2,1,1,1,5,3,5,7,1,4,4,5,0,1,0,1,3,3,3,"t2b","T2b","Framingham","Grafton","P506","6:49",0,0.0303676078849227,1,1,87500,0,1,"b",0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0
"9","Framingham_Grafton_P502",1,4,1,4,1,2,5,1,1,3,3,4,0,36,3,5,NA,NA,NA,1,NA,2,1,6,1,7,1,3,3,4,1,1,1,3,5,1,4,1,1,NA,1,1,4,1,2,1,1,3,4,4,0,NA,NA,NA,NA,NA,NA,"t2a","T2a","Framingham","Grafton","P502","5:29",1,0.0246806039488966,1,1,135000,0,7.5,"a",1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1
"10","Framingham_Grafton_P506",1,4,1,4,4,4,5,6,1,3,4,5,0,54,5,5,NA,NA,NA,1,NA,2,2,4,1,6,1,4,3,3,1,1,1,3,4,1,20,0,2,2,1,1,3,4,4,6,1,4,3,5,0,1,10,1,3,4,3,"t2b","T2b","Framingham","Grafton","P506","6:49",0,0.0246806039488966,1,1,105000,0,10.5447154471545,"b",0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0
